Ortografia Antiga	Ortografia Nova
negro-de-fumo	negro de fumo
negróide	negroide
nematóide	nematoide
neo-árico	neoárico
neo-ático	neoático
neo-escolástica	neoescolástica
neo-escolástico	neoescolástico
neo-eslavismo	neoeslavismo
neo-estoicismo	neoestoicismo
neo-estóico	neoestoico
neo-expressionista	neoexpressionista
neo-idealismo	neoidealismo
neo-impressionismo	neoimpressionismo
neo-impressionista	neoimpressionista
neo-realismo	neorrealismo
neo-realista	neorrealista
neo-republicanismo	neorrepublicanismo
neo-republicano	neorepublicano
neo-romântica	neorromântica
neo-romântico	neorromântico
neo-romantismo	neorromantismo
neo-socialismo	neossocialismo
Neozóico	Neozoico
neurolingüista	neurolinguista
neurolingüística	neurolinguística
neurolingüístico	neurolinguístico
ninféia	ninfeia
ninfóide	ninfoide
nó-de-adão	nó de Adão
nóia	noia
nucleico, nucléico	nucleico
nucleóide	nucleoide
obliqüidade	obliquidade
obovóide	obovoide
obseqüente	obsequente
oco-do-coração	oco do coração
odisséia	odisseia
odisséico	odisseico
odontóide	odontoide
oficial-às-ordens	oficial às ordens
ofióide	ofioide
oitavos-de-final	oitavos de final
oléico	oleico
olho-de-mosquito	olho de mosquito
olho-de-sogra	olho de sogra
olho-de-tigre	olho de tigre
omnilíngue, omnilíngüe, onilingue, onilíngüe	omnilingue, onilingue
omóide	omoide
onomatopéia	onomatopeia
onomatopéico	onomatopeico
orelhas-de-abade	orelhas de abade
orféico	orfeico
organóide	organoide
orizóide	orizoide
ornitóide	ornitoide
ortopinacóide	ortopinacoide
ortopnéia	ortopneia
ortopnóico	ortopnoico
osteoganóide	osteoganoide
osteóide	osteoide
otopiorréico	otopiorreico
otorréia	otorreia
otorréico	otorreico
ovóide	ovoide
pai-de-meninos	pai de meninos
pai-de-santo	pai de santo
pai-de-todos	pai de todos
pai-de-velhacos	pai de velhacos
paleozóico	paleozoico
palha-de-abade	palha de abade
palóio	paloio
palpos-de-aranha	palpos de aranha
panacéia	panaceia
pangéia	Pangeia
pão-de-açúcar	pão de açúcar
pão-de-ló	pão de ló
pão-por-Deus	pão por Deus
papo-de-anjo	papo de anjo
papo-de-rola	papo de rola
pára-água	para-água
pára-águas	para-águas
pára-brisa	para-brisa
pára-brisas	para-brisas
pára-choque	para-choque
pára-chuva	para-chuva
pára-fogo	para-fogo
pára-lama	para-lama
pára-lamas	para-lamas
pára-luz	para-luz
pára-quedas	para-quedas
pára-quedismo	para-quedismo
pára-quedista	para-quedista
pára-raios	para-raios
pára-sol	para-sol
pára-vento	para-vento
parabolóide	paraboloide
paranéia	paraneia
paranéico	paraneico
paranóia	paranoia
paranóica	paranoica
paranóico	paranoico
paranóide	paranoide
parasitóide	parasitoide
paratifóide	paratifoide
paratireóide	paratireoide
paratiróide	paratiroide
parvóide	parvoide
passarinho-a-olhar	passarinho a olhar
patetóide	patetoide
patuléia	patuleia
pau-a-pique	pau a pique
pau-de-cabeleira	pau de cabeleira
pau-de-fileira	pau de fileira
pau-do-ar	pau do ar
paz-de-alma	paz de alma
pé-de-alferes	pé de alferes
pé-de-altar	pé de altar
pé-de-amigo	pé de amigo
pé-de-atleta	pé de atleta
pé-de-banco	pé de banco
pé-de-boi	pé de boi
pé-de-cabra	pé de cabra
pé-de-cana	pé de cana
pé-de-candeeiro	pé de candeeiro
pé-de-cantiga	pé de cantiga
pé-de-cavalo	pé de cavalo
pé-de-chumbo	pé de chumbo
pé-de-dança	pé de dança
pé-de-moleque	pé de moleque
pé-de-pato	pé de pato
pé-de-vento	pé de vento
pedaço-de-asno	pedaço de asno
pedra-da-lua	pedra da lua
pedra-das-amazonas	pedra das amazonas
pedra-de-afiar	pedra de afiar
pedra-de-águia	pedra de águia
pedra-de-amolar	pedra de amolar
pedra-de-cevar	pedra de cevar
pedra-de-raio	pedra de raio
pedra-de-sangue	pedra de sangue
pedra-de-toque	pedra de toque
pedra-do-ar	pedra do ar
pedra-do-sol	pedra do sol
pedrinha-na-boca	pedrinha na boca
pegamóide	pegamoide
pegmatitóide	pegmatitoide
pegmatóide	pegmatoide
peito-de-canga	peito de canga
peito-de-morte	peito de morte
péla	pela
pele-de-vinho	pele de vinho
pêlo	pelo
penfigóide	penfigoide
péra	pera
pêra	pera
pêra-da-terra	pera-da-terra
pêra-de-arrátel	pera-de-arrátel
pêra-de-bom-cristão	pera-de-bom-cristão
percóide	percoide
pergamóide	pergamoide
perna-de-serra	perna de serra
pêro	pero
pés-de-lebre	pés de lebre
petalóide	petaloide
pezizóide	pezizoide
piano-dos-pretos	piano dos pretos
pião-das-nicas	pião das nicas
pigméia	pigmeia
pilóia	piloia
pimelorréico	pimelorreico
pinacóide	pinacoide
pingo-de-tocha	pingo de tocha
pingos-de-ovos	pingos de ovos
pingüim	pinguim
pinho-de-flandres	pinho de Flandres
pinóia	pinoia
pinóio	pinoio
piolho-de-cobra	piolho de cobra
piorréia	piorreia
piorréico	piorreico
piraqüera	piraquera
pirenóide	pirenoide
piritóide	piritoide
piróide	piroide
pirréico	pirreico
pitecantropóide	pitecantropoide
pitecóide	pitecoide
pitimbóia	pitimboia
placóide	placoide
planetóide	planetoide
platéia	plateia
platinóide	platinoide
plebéia	plebeia
pleocróico	pleocroico
pleurorréia	pleurorreia
pó-de-arroz	pó de arroz
pó-de-chipre	pó de Chipre
pó-de-goa	pó de goa
pó-de-sapato	pó de sapato
pó-de-talco	pó de talco
polaróide	polaroide
poliantéia	polianteia
policróico	policroico
poliplóide	poliploide
polipnéia	polipneia
polipnéico	polipneico
polipnóico	polipnoico
polipóide	polipoide
politéico	politeico
politicóide	politicoide
polizóico	polizoico
pomo-de-adão	pomo de Adão
ponta-de-lança	ponta de lança
pôr-do-sol	pôr do sol
porfiróide	porfiroide
porta-da-rua	porta da rua
porta-jóias	porta-joias
potéia	poteia
potréia	potreia
pré-estréia	pré-estreia
príncipe-de-gales	príncipe de Gales
prismatóide	prismatoide
prismóide	prismoide
proctorréico	proctorreico
prometéico	prometeico
propanóico	propanoico
propenóico	propenoico
propinqüidade	propinquidade
prosopopéia	prosopopeia
prosopopéico	prosopopeico
prostatorréico	prostatorreico
protéico	proteico
Proterozóico	Proterozoico
proto-alveitar	protoalveitar
proto-ária	protoária
proto-árico	protoárico
proto-estrela	protoestrela
proto-evangelho	protoevangelho
proto-renascimento	protorrenascimento
proto-revolução	protorrevolução
proto-revolucionário	protorrevolucionário
proto-romântico	protorromântico
proto-romantismo	protorromantismo
proto-romboedro	protorromboedro
proto-sincelo	protossincelo
proto-sol	protossol
proto-solar	protossolar
proto-sulfureto	protossulfureto
protozóide	protozoide
prozóico	prozoico
pseudo-anemia	pseudoanemia
pseudo-anônimo	pseudoanônimo
pseudo-apatite	pseudoapatite
pseudo-apendicite	pseudoapendicite
pseudo-apóstolo	pseudoapóstolo
pseudo-arcaísmo	pseudoarcaísmo
pseudo-aticismo	pseudoaticismo
pseudo-ático	pseudoático
pseudo-eólico	pseudoeólico
pseudo-eolismo	pseudoeolismo
pseudo-escorpião	pseudoescorpião
pseudo-escorpionídeo	pseudoescorpionídeo
pseudo-esteatite	pseudoesteatite
pseudo-etimologia	pseudoetimologia
pseudo-etimológico	pseudoetimológico
pseudo-eufêmico	pseudoeufêmico
pseudo-eufemismo	pseudoeufemismo
pseudo-evangelista	pseudoevangelista
pseudo-iônico	pseudoiônico
pseudo-ionismo	pseudoionismo
pseudo-revelação	pseudorrevelação
pseudo-sábio	pseudossábio
pseudo-sínodo	pseudossínodo
psicolingüista	psicolinguista
psicolingüística	psicolinguística
psicolingüístico	psicolinguístico
pterigóide	pterigoide
pteróide	pteroide
quapóia	quapoia
quarto-de-final	quarto de final
quartos-de-final	quartos de final
queijinho-do-céu	queijinho do céu
quelóide	queloide
quinoleico	quinoleico
qüeba	queba
qüera	quera
qüercíneo	quercíneo
qüerqüerno	querquerno
qüerqüetulano	querquetulano
qüiba	quiba
qüididade	quididade
qüididativo	quididativo
qüindecágono	quindecágono
qüindênio	quindênio
qüingentaria	quingentaria
qüingentésimo	quingentésimo
qüinquagenário	quinquagenário
qüinquagésima	quinquagésima
qüinquagésimo	quinquagésimo
qüinqüeangular	quinqueangular
qüinqüecapsular	quinquecapsular
qüinqüedentado	quinquedentado
qüinqüedentado	quinquedentado
qüinqüedigitado	quinquedigitado
qüinqüefido	quinquefido
qüinqüefoliado	quinquefoliado
qüinqüefólio	quinquefólio
qüinqüegenciano	quinquegenciano
qüinqüelíngüe	quinquelíngue
qüinqüelobado	quinquelobado
qüinqüenal	quinquenal
qüinqüenalidade	quinquenalidade
qüinqüenervado	quinquenervado
qüinqüênio	quinquênio
qüinqüerreme	quinquerreme
qüinqüevalente	quinquevalente
qüinqüevalve	quinquevalve
qüinqüevalvular	quinquevalvular
qüinqüevirado	quinquevirado
qüinqüeviral	quinqueviral
qüinqüevirato	quinquevirato
qüinqüéviro	quinquéviro
qüinqüídio	quinquídio
qüinqüíduo	quinquíduo
qüintimetatársico	quintimetatársico
qüintuplinérveo	quintuplinérveo
rabditóide	rabditoide
rabdóide	rabdoide
rabo-de-andorinha	rabo de andorinha
rabo-de-arraia	rabo de arraia
rabo-de-leque	rabo de leque
rabo-de-saia	rabo de saia
rabo-de-tatu	rabo de tatu
ragóide	ragoide
rambóia	ramboia
ranfóide	ranfoide
rebôo	reboo
redargüente	redarguente
redargüição	redarguição
redargüidor	redarguidor
redargüir	redarguir
redargüitivo	redarguitivo
réida	reida
relinqüição	relinquição
relinqüimento	relinquimento
relinqüir	relinquir
relógio-de-ponto	relógio de ponto
rés-do-chão	rés do chão
resina-de-jalapa	resina de jalapa
resinóide	resinoide
retinóide	retinoide
reto-românico	retorromânico
reumatóide	reumatoide
revôo	revoo
ribonucleico, ribonucléico	ribonucleico
rinorréia	rinorreia
rinorréico	rinorreico
ritmopéia	ritmopeia
ritmopéico	ritmopeico
rizóide	rizoide
rombóide	romboide
rosa-de-oiro	rosa de oiro
rosa-de-ouro	rosa de ouro
rosa-dos-ventos	rosa dos ventos
roupa-de-franceses	roupa de franceses
sabóia	saboia
saca-de-carvão	saca de carvão
sacaróide	sacaroide
sacarorréico	sacarorreico
saco-de-areia	saco de areia
saducéia	saduceia
sagüi	sagui
sagüim	saguim
sagüiru	saguiru
saída-de-banho	saída de banho
saída-de-praia	saída de praia
sal-de-azedas	sal de azedas
sal-de-epsom	sal de Epsom
sal-de-glauber	sal de Glauber
sal-de-júpiter	sal de Júpiter
sal-de-saturno	sal de Saturno
sal-de-seldlitz	sal de Seldlitz
sal-de-vichy	sal de Vichy
sanguento, sangüento	sanguento
sanguinária, sangüinária	sanguinária
sanguinário, sangüinário	sanguinário
sanguínea, sangüínea	sanguínea
sanguíneo, sangüíneo	sanguíneo
sanguinidade, sangüinidade	sanguinidade
sanguinoso, sangüinoso	sanguinoso
sangüícola	sanguícola
sangüinarina	sanguinarina
sangüinolária	sanguinolária
saprozóico	saprozoico
sarcóide	sarcoide
sarcopióide	sarcopioide
sarigüé	sarigué
sarigüéia	sarigueia
seborréia	seborreia
seborréico	seborreico
secantóide	secantoide
selenóide	selenoide
semi-esferóide	semiesferoide
semi-esferóide	semiesferoide
semi-racional	semirracional
semi-radiado	semirradiado
semi-real	semirreal
semi-reboque	semirreboque
semi-rei	semirrei
semi-religioso	semirreligioso
semi-rígido	semirrígido
semi-romano	semirromano
semi-roto	semirroto
semi-sábio	semissábio
semi-sagitado	semissagitado
semi-secular	semissecular
semi-sedentário	semissedentário
semi-segredo	semissegredo
semi-selvagem	semisselvagem
semi-septenário	semisseptenário
semi-sepulto	semissepulto
semi-silvestre	semissilvestre
semi-soberania	semissoberania
semi-soberano	semissoberano
semi-som	semissom
semi-soma	semissoma
semi-sonora	semissonora
semi-sonoro	semissonoro
senóide	senoide
sentimentalóide	sentimentaloide
sepalóide	sepaloide
sequóia	sequoia
seqüela	sequela
seqüência	sequência
seqüenciação	sequenciação
seqüencial	sequencial
seqüenciar	sequenciar
seqüente	sequente
seqüestração	sequestração
seqüestrador	sequestrador
seqüestrar	sequestrar
seqüestrável	sequestrável
seqüestre	sequestre
seqüestro	sequestro
sericóia	sericoia
sesamóide	sesamoide
sialorréia	sialorreia
sialorréico	sialorreico
sifilóide	sifiloide
sifonóide	sifonoide
sigmóide	sigmoide
siliqüiforme	siliquiforme
siluróide	siluroide
sinóico	sinoico
sintoxóide	sintoxoide
sinusóide	sinusoide
sobre-endividamento	sobre-endividamento
sobreelevar	sobre-elevar
sobreeminência	sobre-eminência
sobreeminente	sobre-eminente
sobreemissão	sobre-emissão
sobreendividar	sobre-endividar
sobreerguer	sobre-erguer
sobreerrogação	sobre-errogação
sobreexaltação	sobre-exaltação
sobreexaltar	sobre-exaltar
sobreexcedente	sobre-excedente
sobreexceder	sobre-exceder
sobreexcelência	sobre-excelência
sobreexcelente	sobre-excelente
sobreexcitação	sobre-excitação
sobreexcitado	sobre-excitado
sobreexcitante	sobre-excitante
sobreexcitar	sobre-excitar
sobreexploração	sobre-exploração
sobreexpor	sobre-expor
sobreexposição	sobre-exposição
sobrevôo	sobrevoo
sociolingüista	sociolinguista
sociolingüística	sociolinguística
sociolingüístico	sociolinguístico
sóia	soia
sol-de-gata	sol de gata
solenóide	solenoide
sopa-de-urso	sopa de urso
sopinha-de-massa	sopinha de massa
sotéia	soteia
suaviloqüente	suaviloquente
subáqüeo	subáqueo
subaracnóide	subaracnoide
subeqüilateral	subequilateral
subseqüência	subsequência
subseqüente	subsequente
subungüiculado	subunguiculado
sulfonaftaléico	sulfonaftaleico
sulfuróide	sulfuroide
supra-escapular	supraescapular
supra-esternal	supraesternal
supra-estrutura	supraestrutura
supra-excitar	supraexcitar
supra-occipital	supraoccipital
supra-ocular	supraocular
supra-orbital	supraorbital
supra-orbitário	supraorbitário
supra-racial	suprarracial
supra-racional	suprarracional
supra-regional	suprarregional
supra-renal	suprarrenal
supra-renalite	suprarrenalite
supra-sensibilidade	suprassensibilidade
supra-sensível	suprassensível
supra-sumo	suprassumo
suspensóide	suspensoide
tablóide	tabloide
taiúva	taiuva
talagóia	talagoia
tangentóide	tangentoide
taoísmo	taoismo
taoísta	taoista
taquipnéia	taquipneia
taquipnéico	taquipneico
tenióide	tenioide
tênis-de-mesa	tênis de mesa
teodicéia	teodiceia
tepalóide	tepaloide
termocróico	termocroico
terra-a-terra	terra a terra
terra-de-ninguém	terra de ninguém
terra-de-sevilha	terra de Sevilha
terra-de-siena	terra de Siena
testa-de-ferro	testa de ferro
testa-de-ponte	testa de ponte
tetéia	teteia
teteqüera	tetequera
tetraplóide	tetraploide
tifóide	tifoide
tigróide	tigroide
tigüera	tiguera
tilacóide	tilacoide
timeléia	timeleia
tinta-da-china	tinta da China
tipóia	tipoia
tireóide	tireoide
tireoidéia	tireoideia
tiro-de-guerra	tiro de guerra
tiróide	tiroide
tirsóide	tirsoide
tóino	toino
tordéia	tordeia
torrão-de-alicante	torrão de Alicante
toucinho-do-céu	toucinho do céu
tourão-do-mato	tourão-do-mato
toxicóide	toxicoide
toxóide	toxoide
tracóide	tracoide
trairambóia	trairamboia
tramóia	tramoia
tranqüilamente	tranquilamente
tranqüilidade	tranquilidade
tranqüilização	tranquilização
tranqüilizador	tranquilizador
tranqüilizante	tranquilizante
tranqüilizar	tranquilizar
tranqüilo	tranquilo
trapezóide	trapezoide
traquéia	traqueia
traquéia-artéria	traqueia-artéria
traquéico	traqueico
traqueóide	traqueoide
traquitóide	traquitoide
traumatopnéico	traumatopneico
tricinqüentenário	tricinquentenário
tricóide	tricoide
tricróico	tricroico
trióico	trioico
triplóide	triploide
trocóide	trocoide
tróia	troia
tróica	troica
tróico	troico
troixa-de-ovos	troixa de ovos
tromba-de-boi	tromba de boi
trombóide	tromboide
trouxa-de-ovos	trouxa de ovos
tuberculóide	tuberculoide
tuberóide	tuberoide
tucanabóia	tucanaboia
tuiúca	tuiuca
turbinosfenóide	turbinosfenoide
turbinosfenóideo	turbinosfenoideo
uarurembóia	uaruremboia
ubiqüidade	ubiquidade
ubiqüismo	ubiquismo
ubiqüista	ubiquista
ubiqüitário	ubiquitário
ubiqüitarismo	ubiquitarismo
ulceróide	ulceroide
ulcóide	ulcoide
ultra-esdrúxulo	ultraesdrúxulo
ultra-etimológico	ultraetimológico
ultra-existência	ultraexistência
ultra-existente	ultraexistente
ultra-infernal	ultrainfernal
ultra-oceânico	ultraoceânico
ultra-ortodoxo	ultraortodoxo
ultra-radical	ultrarradical
ultra-rápido	ultrarrápido
ultra-reação	ultrarreação
ultra-reacionária	ultrarreacionária
ultra-reacionário	ultrarreacionário
ultra-realismo	ultrarrealismo
ultra-realista	ultrarrealista
ultra-revolucionária	ultrarrevolucionária
ultra-revolucionário	ultrarrevolucionário
ultra-rigoroso	ultrarrigoroso
ultra-romântica	ultrarromântica
ultra-romântico	ultrarromântico
ultra-romantismo	ultrarromantismo
ultra-romantizar	ultrarromantizar
ultra-roxo	ultrarroxo
ultra-secreto	ultrassecreto
ultra-secular	ultrassecular
ultra-sensível	ultrassensível
ultra-sofisticado	ultrassofisticado
ultra-solar	ultrassolar
ultra-som	ultrassom
ultra-sônico	ultrassônico
ultra-sonografia	ultrassonografia
ultra-sonográfico	ultrassonográfico
ultra-sonógrafo	ultrassonógrafo
ultra-sonoro	ultrassonoro
ultraterreno	ultraterreno
umbigo-de-freira	umbigo de freira
ungui, ungüi	ungui
ungüentáceo	unguentáceo
ungüentar	unguentar
ungüentário	unguentário
ungüento	unguento
ungüiculado	unguiculado
ungüífero	unguífero
ungüiforme	unguiforme
ungüinoso	unguinoso
unha-de-fome	unha de fome
unhas-de-fome	unhas de fome
uréia	ureia
uréico	ureico
uretrorréia	uretrorreia
uretrorréico	uretrorreico
uretrotrombóide	uretrotromboide
urobenzóico	urobenzoico
uróide	uroide
urorréia	urorreia
urorréico	urorreico
vacinóide	vacinoide
vaniloqüência	vaniloquência
vaniloqüente	vaniloquente
varicelóide	variceloide
variolóide	varioloide
vedóia	vedoia
verbo-de-encher	verbo de encher
verborréia	verborreia
verborréico	verborreico
vidro-de-cheiro	vidro de cheiro
vinho-de-caju	vinho de caju
vinho-de-cheiro	vinho de cheiro
vinho-de-maçã	vinho de maçã
vinho-de-maçãs	vinho de maçãs
vinho-de-palma	vinho de palma
vinte-e-quatro-horas	vinte e quatro horas
vintém-de-santo-antônio	vintém de Santo Antônio
viola-da-terra	viola da terra
viola-de-amor	viola de amor
viola-de-arame	viola de arame
volta-no-meio	volta no meio
vôo	voo
xantoprotéico	xantoproteico
xantorréico	xantorreico
xifóide	xifoide
xilóide	xiloide
xistóide	xistoide
zé-da-véstia	zé da véstia
zé-dos-anzóis	zé dos anzois
zebróide	zebroide
zéida	zeida
zoéia	zoeia
zóico	zoico
zóide	zoide
zôo	zoo
zoofitóide	zoofitoide
zoogléia	zoogleia
zoóide	zooide