	BR	PT
extrospeção/extrospecção	extrospecção	extrospeção
extrospetivo/extrospectivo	extrospectivo	extrospetivo
fação/facção	fação	fação
fator/factor	fator	fator
fator-chave/factor-chave	fator-chave	fator-chave
fatorial/factorial	fatorial	fatorial
fatorizar/factorizar	fatorizar	fatorizar
fatura/factura	fatura	fatura
ferrielétrico/ferrieléctrico	ferrielétrico	ferrielétrico
ferroelétrico/ferroeléctrico	ferroelétrico	ferroelétrico
filotático/filotáctico	filotáctico	filotático
filotático/filotáctico	filotático	filotático
flebopético/flebopéctico	flebopético	flebopético
fletido/flectido	flectido	fletido
fletido/flectido	fletido	fletido
fletir/flectir	flectir	fletir
fletir/flectir	fletir	fletir
fletor/flector	flector	fletor
fletor/flector	fletor	fletor
fonético-sintaticamente/fonético-sintacticamente	fonético-sintaticamente	fonético-sintaticamente
fonético-sintático/fonético-sintáctico	fonético-sintático	fonético-sintático
fotelétrico/foteléctrico	fotelétrico	fotelétrico
fotodielétrico/fotodieléctrico	fotodielétrico	fotodielétrico
fotoeletrão/fotoelectrão	fotoeletrão	fotoeletrão
fotoelétrico/fotoeléctrico	fotoelétrico	fotoelétrico
fotótico/fotóptico	fotótico	fotótico
fototático/fototáctico	fototáctico	fototático
fototático/fototáctico	fototático	fototático
fração/fracção	fração	fração
fracionamento/fraccionamento	fracionamento	fracionamento
fracionar/fraccionar	fracionar	fracionar
fracionário/fraccionário	fracionário	fracionário
fracionável/fraccionável	fracionável	fracionável
fraciúncula/fracciúncula	fraciúncula	fraciúncula
fratura/fractura	fratura	fratura
fraturamento/fracturamento	fraturamento	fraturamento
fraturar/fracturar	fraturar	fraturar
galvanotático/galvanotáctico	galvanotático	galvanotático
gastropético/gastropéctico	gastropéctico	gastropético
gastropético/gastropéctico	gastropético	gastropético
genufletir/genuflectir	genuflectir	genufletir
genufletir/genuflectir	genufletir	genufletir
genufletor/genuflector	genuflector	genuflector
genufletor/genuflector	genufletor	genufletor
genufletora/genuflectora	genuflectora	genufletora
genufletora/genuflectora	genufletora	genufletora
geotático/geotáctico	geotático	geotático
haptotático/haptoctático	haptotático	haptotático
heliotatismo/heliotactismo	heliotactismo	heliotatismo
heliotatismo/heliotactismo	heliotatismo	heliotatismo
hemiatático/hemiatáctico	hemiatático	hemiatático
hemotético/hemotéctico	hemotético	hemotético
hepatopético/hepatopéctico	hepatopético	hepatopético
heteroinfeção/heteroinfecção	heteroinfecção	heteroinfeção
heterorrético/heterorréctico	heterorrético	heterorrético
heterotático/heterotáctico	heterotáctico	heterotático
heterotático/heterotáctico	heterotático	heterotático
hidrelétrico/hidreléctrico	hidrelétrico	hidrelétrico
hidroelétrica/hidroeléctrica	hidroelétrica	hidroelétrica
hidroelétrico/hidroeléctrico	hidroelétrico	hidroelétrico
hidroextrator/hidroextractor	hidroextrator	hidroextrator
hidrofrático/hidrofráctico	hidrofrático	hidrofrático
hipercatalético/hipercataléctico	hipercataléctico	hipercatalético
hipercatalético/hipercataléctico	hipercatalético	hipercatalético
hipercataleto/hipercatalecto	hipercataleto	hipercataleto
hiperdialético/hiperdialéctico	hiperdialético	hiperdialético
hipereutético/hipereutéctico	hipereutético	hipereutético
hipeutético/hipeutéctico	hipeutético	hipeutético
hipotático/hipotáctico	hipotático	hipotático
histeropético/histeropéctico	histeropético	histeropético
holantártico/holantárctico	holantárctico	holantártico
holantártico/holantárctico	holantártico	holantártico
holárctico/holárctico	holárctico	holárctico
homeocatalético/homeocataléctico	homeocatalético	homeocatalético
homeocataleto/homeocatalecto	homeocatalecto	homeocataleto
homeocataleto/homeocatalecto	homeocataleto	homeocataleto
idielétrico/idieléctrico	idielétrico	idielétrico
idioelétrico/idioeléctrico	idioelétrico	idioelétrico
idioleto/idiolecto	idioleto	idioleto
imputrefação/imputrefacção	imputrefação	imputrefação
imunoeletroforese/imunoelectroforese	imunoeletroforese	imunoeletroforese
inefetivo/inefectivo	inefetivo	inefetivo
infeção/infecção	infecção	infeção
infeciologia/infecciologia	infecciologia	infeciologia
infeciologista/infecciologista	infecciologista	infeciologista
infecionado/infeccionado	infeccionado	infecionado
infecionar/infeccionar	infeccionar	infecionar
infecioso/infeccioso	infeccioso	infecioso
infetada/infectada	infectada	infetada
infetado/infectado	infectado	infetado
infetante/infectante	infectante	infetante
infetar/infectar	infectar	infetar
infetável/infectável	infectável	infetável
infetologia/infectologia	infectologia	infetologia
infetológico/infectológico	infectológico	infetológico
infetuosidade/infectuosidade	infectuosidade	infetuosidade
infletir/inflectir	inflectir	infletir
infletir/inflectir	infletir	infletir
inflição/inflicção	inflicção	inflição
inflição/inflicção	inflição	inflição
infração/infracção	infração	infração
infrator/infractor	infrator	infrator
infratora/infractora	infratora	infratora
injetivo/injectivo	injetivo	injetivo
injeto/injecto	injeto	injeto
injetor/injector	injetor	injetor
inobjetividade/inobjectividade	inobjetividade	inobjetividade
inopético/inopéctico	inopético	inopético
inseticida/insecticida	inseticida	inseticida
inseticídio/insecticídio	inseticídio	inseticídio
inseto/insecto	inseto	inseto
inspetivo/inspectivo	inspetivo	inspetivo
insurrecionado/insurreccionado	insurrecionado	insurrecionado
insurrecional/insurreccional	insurrecional	insurrecional
insurrecionalmente/insurreccionalmente	insurrecionalmente	insurrecionalmente
insurrecionar/insurreccionar	insurrecionar	insurrecionar
insurrecionário/insurreccionário	insurrecionário	insurrecionário
insurrecionável/insurreccionável	insurrecionável	insurrecionável
insurrecionismo/insurreccionismo	insurrecionismo	insurrecionismo
insurreccionista/insurreccionista	insurreccionista	insurreccionista
insurreta/insurrecta	insurrecta	insurreta
insurreta/insurrecta	insurreta	insurreta
insurreto/insurrecto	insurrecto	insurreto
insurreto/insurrecto	insurreto	insurreto
insuscetível/insusceptível	insuscetível	insuscetível
interjecional/interjeccional	interjecional	interjecional
interjecionar/interjeccionar	interjecionar	interjecionar
interjetivamente/interjectivamente	interjetivamente	interjetivamente
interjetivo/interjectivo	interjetivo	interjetivo
introjeção/introjecção	introjeção	introjeção
introspeção/introspecção	introspecção	introspeção
introspetivo/introspectivo	introspectivo	introspetivo
intuspeção/intuspecção	intuspecção	intuspeção
intuspeção/intuspecção	intuspeção	intuspeção
intuspetivo/intuspectivo	intuspetivo	intuspetivo
intuspetivo/intuspectivo	intuspectivo	intuspetivo
invetiva/invectiva	invectiva	invetiva
invetiva/invectiva	invectiva	invetiva
invetivador/invectivador	invectivador	invetivador
invetivador/invectivador	invetivador	invetivador
invetivante/invectivante	invectivante	invetivante
invetivante/invectivante	invetivante	invetivante
invetivar/invectivar	invectivar	invetivar
invetivar/invectivar	invetivar	invetivar
invetivista/invectivista	invectivista	invetivista
invetivista/invectivista	invetivista	invetivista
invetivo/invectivo	invectivo	invetivo
invetivo/invectivo	invetivo	invetivo
iselétrico/iseléctrico	iselétrico	iselétrico
isoelétrico/isoeléctrico	isoelétrico	isoelétrico
jato/jacto	jato	jato
jatoplanador/jactoplanador	jatoplanador	jatoplanador
lecionação/leccionação	lecionação	lecionação
lecionador/leccionador	lecionador	lecionador
lecionando/leccionando	lecionando	lecionando
lecionar/leccionar	lecionar	lecionar
lecionário/leccionário	lecionário	lecionário
lecionável/leccionável	lecionável	lecionável
lecionista/leccionista	lecionista	lecionista
letivo/lectivo	letivo	letivo
liquefação/liquefacção	liquefação	liquefação
liquefacto/liquefato	liquefato	liquefacto
liquefator/liquefactor	liquefator	liquefator
magnetelétrico/magneteléctrico	magnetelétrico	magnetelétrico
malático/maláctico	maláctico	malático
malático/maláctico	malático	malático
manufator/manufactor	manufator	manufator
manufatora/manufactora	manufatora	manufatora
manufatura/manufactura	manufatura	manufatura
manufaturação/manufacturação	manufaturação	manufaturação
manufaturado/manufacturado	manufaturado	manufaturado
manufaturador/manufacturador	manufaturador	manufaturador
manufaturar/manufacturar	manufaturar	manufaturar
manufaturável/manufacturável	manufaturável	manufaturável
manufatureiro/manufactureiro	manufatureiro	manufatureiro
mesorreto/mesorrecto	mesorreto	mesorreto
metalético/metaléptico	metaléptico	metalético
metalético/metaléptico	metalético	metalético
metapético/metapéctico	metapético	metapético
microbjetiva/microbjectiva	microbjetiva	microbjetiva
mórfico-sintático/mórfico-sintáctico	mórfico-sintático	mórfico-sintático
morfossintático/morfossintáctico	morfossintático	morfossintático
multidirecional/multidireccional	multidirecional	multidirecional
multifatorial/multifactorial	multifatorial	multifatorial
nefropético/nefropéctico	nefropéctico	nefropético
nefropético/nefropéctico	nefropético	nefropético
obduto/obducto	obduto	obduto
objeção/objecção	objeção	objeção
objetado/objectado	objetado	objetado
objetal/objectal	objetal	objetal
objetante/objectante	objetante	objetante
objetar/objectar	objetar	objetar
objetável/objectável	objetável	objetável
objetiva/objectiva	objetiva	objetiva
objetivação/objectivação	objetivação	objetivação
objetivado/objectivado	objetivado	objetivado
objetivador/objectivador	objetivador	objetivador
objetivamente/objectivamente	objetivamente	objetivamente
objetivar/objectivar	objetivar	objetivar
objetivável/objectivável	objetivável	objetivável
objetividade/objectividade	objetividade	objetividade
objetivismo/objectivismo	objetivismo	objetivismo
objetivista/objectivista	objetivista	objetivista
objetivo/objectivo	objetivo	objetivo
objetologia/objectologia	objectologia	objetologia
objetologia/objectologia	objetologia	objetologia
objetológico/objectológico	objectológico	objetológico
objetológico/objectológico	objetológico	objetológico
objetologista/objectologista	objectologista	objetologista
objetologista/objectologista	objetologista	objetologista
objetólogo/objectólogo	objectólogo	objetólogo
objetólogo/objectólogo	objetólogo	objetólogo
objetor/objector	objetor	objetor
objetora/objectora	objetora	objetora
otávia/octávia	octávia	otávia
otávia/octávia	otávia	otávia
olfatar/olfactar	olfatar	olfatar
olfática/olfáctica	olfática	olfática
olfático/olfáctico	olfático	olfático
olfativamente/olfactivamente	olfativamente	olfativamente
olfativo/olfactivo	olfativo	olfativo
olfato/olfacto	olfato	olfato
olfatometria/olfactometria	olfatometria	olfatometria
olfatométrico/olfactométrico	olfatométrico	olfatométrico
olfatório/olfactório	olfatório	olfatório
omnidirecional/onidirecional	onidirecional	omnidirecional
omnilingue/onilingue	onilingue	omnilingue
ótica/óptica	óptica	ótica
ótica/óptica	ótica	ótica
oticista/opticista	opticista	oticista
oticista/opticista	oticista	oticista
ótico/óptico	óptico	ótico
ótico/óptico	ótico	ótico
otimamente/optimamente	otimamente	otimamente
otimismo/optimismo	otimismo	otimismo
otimista/optimista	otimista	otimista
otimístico/optimístico	otimístico	otimístico
otimização/optimização	otimização	otimização
otimizar/optimizar	otimizar	otimizar
ótimo/óptimo	ótimo	ótimo
organolético/organoléptico	organoléptico	organolético
organolético/organoléptico	organolético	organolético
organotático/organotáctico	organotáctico	organotático
organotático/organotáctico	organotático	organotático
orquiopético/orquiopéctico	orquiopéctico	orquiopético
orquiopético/orquiopéctico	orquiopético	orquiopético
paleártica/paleárctica	paleártica	paleártica
paleártico/paleárctico	paleártico	paleártico
paraelétrico/paraeléctrico	paraelétrico	paraelétrico
paralático/paraláctico	paraláctico	paralático
paralático/paraláctico	paralático	paralático
paralético/paraléctico	paraléctico	paralético
paralético/paraléctico	paralético	paralético
parapético/parapéctico	parapéctico	parapético
parapético/parapéctico	parapético	parapético
paraplético/parapléctico	paraplético	paraplético
parapoplético/parapopléctico	parapoplético	parapoplético
paratático/paractático	paratático	paratático
parelétrico/pareléctrico	parelétrico	parelétrico
parótico/paróptico	parótico	parótico
peixe-elétrico/peixe-eléctrico	peixe-elétrico	peixe-elétrico
perspético/perspéctico	perspéctico	perspético
perspético/perspéctico	perspético	perspético
perspetiva/perspectiva	perspectiva	perspetiva
perspetivação/perspectivação	perspectivação	perspetivação
perspetival/perspectival	perspectival	perspetival
perspetivar/perspectivar	perspectivar	perspetivar
perspetividade/perspectividade	perspectividade	perspetividade
perspetivismo/perspectivismo	perspectivismo	perspetivismo
perspetivista/perspectivista	perspectivista	perspetivista
perspetivístico/perspectivístico	perspectivístico	perspetivístico
perspetivo/perspectivo	perspectivo	perspetivo
perspetográfico/perspectográfico	perspectográfico	perspetográfico
perspetográfico/perspectográfico	perspetográfico	perspetográfico
perspetógrafo/perspectógrafo	perspectógrafo	perspetógrafo
perspetógrafo/perspectógrafo	perspetógrafo	perspetógrafo
piezelétrico/piezeléctrico	piezelétrico	piezelétrico
piezoelétrico/piezoeléctrico	piezoelétrico	piezoelétrico
pirelétrico/pireléctrico	pirelétrico	pirelétrico
piroelétrico/piroeléctrico	piroelétrico	piroelétrico
pneumopético/pneumopéctico	pneumopético	pneumopético
pneumoplético/pneumopléctico	pneumoplético	pneumoplético
pré-adoção/pré-adopção	pré-adoção	pré-adoção
pré-objetal/pré-objectal	pré-objetal	pré-objetal
procatalético/procataléptico	procataléptico	procatalético
procatalético/procataléptico	procatalético	procatalético
proctopético/proctopéctico	proctopéctico	proctopético
proctopético/proctopéctico	proctopético	proctopético
profilaticamente/profilacticamente	profilaticamente	profilaticamente
profilático/profiláctico	profilático	profilático
profilatismo/profilactismo	profilatismo	profilatismo
prolético/proléctico	proléctico	prolético
prolético/proléctico	prolético	prolético
proleticamente/prolepticamente	prolepticamente	proleticamente
proleticamente/prolepticamente	proleticamente	proleticamente
prospetar/prospectar	prospectar	prospetar
prospetiva/prospectiva	prospectiva	prospetiva
prospetivo/prospectivo	prospectivo	prospetivo
prospeto/prospecto	prospecto	prospeto
prospetor/prospector	prospector	prospetor
prospetora/prospectora	prospectora	prospetora
prostatopético/prostatopéctico	prostatopético	prostatopético
pseudodialetal/pseudodialectal	pseudodialetal	pseudodialetal
punctiforme/puntiforme	puntiforme	punctiforme
putrefação/putrefacção	putrefação	putrefação
putrefator/putrefactor	putrefator	putrefator
putrefatório/putrefactório	putrefatório	putrefatório
quimiotático/quimiotáctico	quimiotáctico	quimiotático
quimiotático/quimiotáctico	quimiotático	quimiotático
radielétrico/radieléctrico	radielétrico	radielétrico
radioelétrico/radioeléctrico	radioelétrico	radioelétrico
rarefação/rarefacção	rarefação	rarefação
rarefator/rarefactor	rarefator	rarefator
readoção/readopção	readoção	readoção
readotar/readoptar	readotar	readotar
rebatismo/rebaptismo	rebatismo	rebatismo
recoleta/recolecta	recoleta	recoleta
recoleto/recolecto	recoleto	recoleto
retangular/rectangular	retangular	retangular
retangularidade/rectangularidade	retangularidade	retangularidade
retangularmente/rectangularmente	retangularmente	retangularmente
retângulo/rectângulo	retângulo	retângulo
reticórneo/recticórneo	reticórneo	reticórneo
retidão/rectidão	retidão	retidão
retificação/rectificação	retificação	retificação
retificador/rectificador	retificador	retificador
retificar/rectificar	retificar	retificar
retificativo/rectificativo	retificativo	retificativo
retificável/rectificável	retificável	retificável
retifloro/rectifloro	retifloro	retifloro
retiforme/rectiforme	retiforme	retiforme
retígrado/rectígrado	retígrado	retígrado
retilineamente/rectilineamente	retilineamente	retilineamente
retilinearidade/rectilinearidade	retilinearidade	retilinearidade
retilíneo/rectilíneo	retilíneo	retilíneo
retinérveo/rectinérveo	retinérveo	retinérveo
retiparalelinérveo/rectiparalelinérveo	retiparalelinérveo	retiparalelinérveo
retirrostro/rectirrostro	rectirrostro	retirrostro
retirrostro/rectirrostro	retirrostro	retirrostro
retite/rectite	rectite	retite
retite/rectite	retite	retite
retitude/rectitude	retitude	retitude
reto/recto	reto	reto
retouretral/rectouretral	retouretral	retouretral
retocele/rectocele	retocele	retocele
retococcígeo/rectococcígeo	retococcígeo	retococcígeo
retocolite/rectocolite	retocolite	retocolite
retopético/rectopéctico	retopético	retopético
retopexia/rectopexia	retopexia	retopexia
retor/rector	retor	retor
retoscopia/rectoscopia	retoscopia	retoscopia
retoscópico/rectoscópico	retoscópico	retoscópico
retoscópio/rectoscópio	retoscópio	retoscópio
retotomia/rectotomia	retotomia	retotomia
retovaginal/rectovaginal	retovaginal	retovaginal
retovesical/rectovesical	retovesical	retovesical
retriz/rectriz	retriz	retriz
returetral/recturetral	returetral	returetral
refletido/reflectido	refletido	refletido
refletividade/reflectividade	refletividade	refletividade
refração/refracção	refração	refração
refratar/refractar	refratar	refratar
refratariamente/refractariamente	refratariamente	refratariamente
refratário/refractário	refratário	refratário
refratarismo/refractarismo	refratarismo	refratarismo
refratividade/refractividade	refratividade	refratividade
refrativo/refractivo	refrativo	refrativo
refrato/refracto	refrato	refrato
refrator/refractor	refrator	refrator
refratoscópico/refractoscópico	refratoscópico	refratoscópico
refratoscópio/refractoscópio	refratoscópio	refratoscópio
regioletal/regiolectal	regioletal	regioletal
regioleto/regiolecto	regioleto	regioleto
reinfeção/reinfecção	reinfecção	reinfeção
reinfecionar/reinfeccionar	reinfeccionar	reinfecionar
reotático/reotáctico	reotáctico	reotático
reotático/reotáctico	reotático	reotático
respetivamente/respectivamente	respectivamente	respetivamente
respetivo/respectivo	respectivo	respetivo
ressurrecional/ressurreccional	ressurreccional	ressurrecional
ressurrecional/ressurreccional	ressurrecional	ressurrecional
ressurrecionismo/ressurreccionismo	ressurreccionismo	ressurrecionismo
ressurrecionismo/ressurreccionismo	ressurrecionismo	ressurrecionismo
ressurrecionista/ressurreccionista	ressurreccionista	ressurrecionista
ressurrecionista/ressurreccionista	ressurrecionista	ressurrecionista
ressurreto/ressurrecto	ressurrecto	ressurreto
ressurreto/ressurrecto	ressurreto	ressurreto
retrofletido/retroflectido	retrofletido	retrofletido
retrofletir/retroflectir	retrofletir	retrofletir
retrospeção/retrospecção	retrospecção	retrospeção
retrospetiva/retrospectiva	retrospectiva	retrospetiva
retrospetivamente/retrospectivamente	retrospectivamente	retrospetivamente
retrospetividade/retrospectividade	retrospectividade	retrospetividade
retrospetivo/retrospectivo	retrospectivo	retrospetivo
retrospeto/retrospecto	retrospecto	retrospeto
riciácea/ricciácea	ricciácea	riciácea
riciácea/ricciácea	riciácea	riciácea
rinenfrático/rinenfráctico	rinenfráctico	rinenfrático
rinenfrático/rinenfráctico	rinenfrático	rinenfrático
rizotático/rizotáctico	rizotáctico	rizotático
rizotático/rizotáctico	rizotático	rizotático
simplético/simpléctico	simplético	simplético
sintaticamente/sintacticamente	sintaticamente	sintaticamente
sintaticista/sintacticista	sintaticista	sintaticista
sintático/sintáctico	sintático	sintático
socioletal/sociolectal	socioletal	socioletal
socioleto/sociolecto	socioleto	socioleto
subártico/subárctico	subártico	subártico
subdialetal/subdialectal	subdialetal	subdialetal
subdialeto/subdialecto	subdialeto	subdialeto
subjeção/subjecção	subjeção	subjeção
superinfeção/superinfecção	superinfecção	superinfeção
suscetibilidade/susceptibilidade	suscetibilidade	suscetibilidade
suscetibilizar/susceptibilizar	suscetibilizar	suscetibilizar
suscetível/susceptível	suscetível	suscetível
tateabilidade/tacteabilidade	tateabilidade	tateabilidade
tateadamente/tacteadamente	tateadamente	tateadamente
tateamento/tacteamento	tateamento	tateamento
tateante/tacteante	tateante	tateante
tatear/tactear	tatear	tatear
tateável/tacteável	tateável	tateável
tateio/tacteio	tateio	tateio
tática/táctica	tática	tática
taticamente/tacticamente	taticamente	taticamente
tático/táctico	tático	tático
tato/tacto	tato	tato
técnico-tático/técnico-táctico	técnico-tático	técnico-tático
tecnoletal/tecnolectal	tecnoletal	tecnoletal
tecnoleto/tecnolecto	tecnoleto	tecnoleto
teto/tecto	teto	teto
teleobjetiva/teleobjectiva	teleobjetiva	teleobjetiva
telobjetiva/telobjectiva	telobjetiva	telobjetiva
telótico/telóptico	telóptico	telótico
telótico/telóptico	telótico	telótico
tenontopético/tenontopéctico	tenontopético	tenontopético
tenopético/tenopéctico	tenopético	tenopético
termelétrico/termeléctrico	termelétrico	termelétrico
termodielétrico/termodieléctrico	termodielétrico	termodielétrico
termoelétrico/termoeléctrico	termoelétrico	termoelétrico
termotático/termotáctico	termotático	termotático
tiflopético/tiflopéctico	tiflopéctico	tiflopético
tiflopético/tiflopéctico	tiflopético	tiflopético
tigmotático/tigmotáctico	tigmotático	tigmotático
torrefação/torrefacção	torrefação	torrefação
torrefator/torrefactor	torrefator	torrefator
tratório/tractório	tratório	tratório
transato/transacto	transato	transato
transator/transactor	transator	transator
transobjetivo/transobjectivo	transobjetivo	transobjetivo
traquelopético/traquelopéctico	traquelopético	traquelopético
triboelétrico/triboeléctrico	triboelétrico	triboelétrico
tricorrético/tricorréctico	tricorréctico	tricorrético
tricorrético/tricorréctico	tricorrético	tricorrético
tumefação/tumefacção	tumefação	tumefação
ureterenfrático/ureterenfráctico	ureterenfrático	ureterenfrático
uretrofrático/uretrofráctico	uretrofrático	uretrofrático
vetação/vectação	vetação	vetação
vetor/vector	vetor	vetor
vetorial/vectorial	vetorial	vetorial
vetorizar/vectorizar	vetorizar	vetorizar
vice-coletor/vice-colector	vice-coletor	vice-coletor
zigotático/zigotáctico	zigotático	zigotático
zoelétrico/zoeléctrico	zoelétrico	zoelétrico
zooelétrico/zooeléctrico	zooelétrico	zooelétrico
zoótico/zoóptico	zoóptico	zoótico
zoótico/zoóptico	zoótico	zoótico
zootático/zootáctico	zootático	zootático
